  Measurement Number     Measurement type
                  16            NewRelaib

      Measurement ID                 Mode
       739694.776394                WGFMU

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                  -3             0.000101                  3.5             0.000101

           Rise time            Fall Time           Separation
               1e-06                1e-06               0.0001

              Cycles       Steps in cycle         Test voltage
                 500                10000                    1

      Step        LRS        HRS
      9421  1091.3111 50429.8753
      9441  1254.0364 56125.1966
      9461  1734.4962 36254.9584
      9481  1032.8729 35800.6951
      9501  1586.3349  35717.565
      9521  1506.3206 15008.7503
      9541  1404.6171  31392.134
      9561  1426.3409 24933.9445
      9581  1462.1494 24158.0286
      9601  1462.7678 41979.5165
      9621  1474.1942 20073.9159
      9641  1399.5081 34356.2448
      9661  1414.3635 34139.3285
      9681  1552.7958 26016.0122
      9701  1697.3789 23088.9503
      9721  1623.8537 27278.3746
      9741  1791.0598 27174.7236
      9761    1789.62 35573.3706
      9781  1620.3125 26243.2943
      9801  1701.7253 25756.5211
      9821  1593.7529 36445.2663
      9841   1634.984 41577.0033
      9861  1560.3904 26083.7067
      9881  1651.7831 36002.5894
      9901  1601.6088 20664.7559
      9921  1439.9605 24721.3215
      9941  1526.0954 28728.5712
      9961  1576.6375 35692.2019
      9981  1591.3588 28451.4358




